id,created_datetime,junction_name,police_station,district,latitude,longitude,vehicle_type,validation_status
1,2024-02-05T20:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917094772166749,77.62327369002466,TWO_WHEELER,approved
2,2024-02-21T14:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91705580825844,77.62320210305697,TWO_WHEELER,approved
3,2024-03-11T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917046619047811,77.62302359892247,CAR,approved
4,2024-02-09T19:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917048392454314,77.62261734395108,TWO_WHEELER,approved
5,2024-01-20T18:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916914390787165,77.62285151863259,CAR,approved
6,2024-01-08T21:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91670473406137,77.62329739619162,BUS,approved
7,2024-03-04T16:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916769801284515,77.62307513960367,CAR,approved
8,2024-04-11T11:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916971956300529,77.62299336131998,CAR,pending
9,2024-03-30T03:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916997300555051,77.62278845781421,CAR,approved
10,2024-04-03T21:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917113222565357,77.62285910930993,TWO_WHEELER,approved
11,2024-04-18T21:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917043727663211,77.62317635220779,BUS,approved
12,2024-01-19T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917112892847712,77.62300510013362,AUTO,approved
13,2024-01-15T01:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91709216326003,77.62301718469433,TWO_WHEELER,approved
14,2024-01-21T12:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917116424558943,77.62317754969192,TWO_WHEELER,approved
15,2024-04-07T08:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917042317402466,77.62311940892924,BUS,approved
16,2024-01-09T08:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916904165152431,77.62296286820467,CAR,approved
17,2024-03-13T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91668516894261,77.62312759058865,TWO_WHEELER,approved
18,2024-04-20T20:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916813247431817,77.62315684163754,CAR,pending
19,2024-04-28T10:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916920272321997,77.62298782718251,CAR,approved
20,2024-02-05T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917018352155306,77.62260248621709,BUS,approved
21,2024-04-04T22:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91684214833426,77.62314874225676,CAR,approved
22,2024-03-12T18:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917058611849129,77.62317932607675,CAR,approved
23,2024-04-22T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916917047073118,77.62272025182368,AUTO,approved
24,2024-03-10T07:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91693814229071,77.62313462510056,CAR,approved
25,2024-02-28T08:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916825939009088,77.62289867135608,TWO_WHEELER,approved
26,2024-01-14T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916931457096695,77.62283954454617,BUS,approved
27,2024-03-08T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916867452337325,77.62297070543866,CAR,approved
28,2024-02-23T19:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91661624575694,77.62299469722491,CAR,approved
29,2024-01-30T02:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916868163539512,77.6230007874609,CAR,approved
30,2024-04-11T08:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916993057646058,77.62276626439248,BUS,approved
31,2024-02-29T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916957135103349,77.62286216115791,CAR,approved
32,2024-01-13T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917281041061175,77.6232784651507,TWO_WHEELER,approved
33,2024-04-26T15:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91700561989267,77.62276058258733,TWO_WHEELER,approved
34,2024-03-15T18:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916689867313787,77.62301371259497,TWO_WHEELER,approved
35,2024-03-17T19:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917249788139827,77.62301312983163,TWO_WHEELER,rejected
36,2024-04-15T00:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917374463823464,77.62307927478801,CAR,approved
37,2024-04-01T07:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917272777304884,77.62350783254325,CAR,approved
38,2024-02-25T07:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916970610921416,77.62303612459475,CAR,pending
39,2024-03-11T02:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917123528169101,77.6232434141594,CAR,approved
40,2024-03-01T03:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917034966602397,77.62275662902154,TWO_WHEELER,pending
41,2024-02-09T20:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916805063665954,77.62315741692075,CAR,approved
42,2024-03-04T15:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917084897248811,77.623188107117,TWO_WHEELER,approved
43,2024-01-20T03:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916736285967849,77.62314407744842,TWO_WHEELER,approved
44,2024-04-04T21:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917055338159866,77.62316543664981,AUTO,approved
45,2024-02-03T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917170024116425,77.6230788679903,CAR,approved
46,2024-02-03T23:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917008396012895,77.62297254563659,CAR,approved
47,2024-02-21T19:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917121395141914,77.62293021976345,TWO_WHEELER,approved
48,2024-02-14T04:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91690950755353,77.62315540995898,CAR,rejected
49,2024-03-24T14:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916536386350362,77.62294639632964,CAR,approved
50,2024-04-18T21:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.91682322851276,77.6230307450212,TWO_WHEELER,approved
51,2024-03-11T06:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917211484701772,77.6230102721719,TWO_WHEELER,approved
52,2024-01-11T05:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.917181024391992,77.62287921912551,AUTO,approved
53,2024-02-08T08:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916763346875708,77.62309899913085,CAR,approved
54,2024-01-17T15:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916687888585512,77.62340006961783,TWO_WHEELER,approved
55,2024-01-03T02:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916642300699003,77.62307146090839,TWO_WHEELER,approved
56,2024-04-08T00:00:00+00:00,Silk Board Jn Main,Koramangala PS,South Bengaluru,12.916905613626842,77.6232177901194,CAR,approved
